,genre,anime_count
209,"[""'Comedy'"", ""'Shoujo'""]",10
210,"[""'Kids'"", ""'Supernatural'""]",10
211,"[""'Comedy'"", ""'Romance'"", ""'School'"", ""'Shoujo'""]",10
212,"[""'Comedy'"", ""'Parody'"", ""'Slice of Life'""]",10
213,"[""'Action'"", ""'Seinen'""]",10
214,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Fantasy'"", ""'Sci-Fi'"", ""'Shounen'""]",10
215,"[""'Seinen'"", ""'Slice of Life'""]",10
216,"[""'Fantasy'"", ""'Shounen'""]",10
217,"[""'Comedy'"", ""'Magic'"", ""'Parody'""]",10
218,"[""'Comedy'"", ""'Sci-Fi'"", ""'Space'""]",10
219,"[""'Action'"", ""'Drama'"", ""'Sci-Fi'""]",10
220,"[""'Comedy'"", ""'Parody'"", ""'Sci-Fi'""]",10
221,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Fantasy'"", ""'Martial Arts'"", ""'Shounen'"", ""'Super Power'""]",10
222,"[""'Action'"", ""'Comedy'"", ""'Mystery'"", ""'Shounen'""]",10
223,"[""'Drama'"", ""'Supernatural'""]",10
224,"[""'Adventure'"", ""'Comedy'"", ""'Fantasy'"", ""'Kids'"", ""'Magic'""]",10
225,"[""'Historical'"", ""'Military'""]",9
226,"[""'Music'"", ""'Supernatural'""]",9
227,"[""'Comedy'"", ""'Mecha'""]",9
228,"[""'Action'"", ""'Music'"", ""'Sci-Fi'""]",9
229,"[""'Action'"", ""'Samurai'""]",9
230,"[""'Comedy'"", ""'Ecchi'"", ""'Fantasy'""]",9
231,"[""'Comedy'"", ""'Super Power'""]",9
232,"[""'Action'"", ""'Mecha'"", ""'Military'""]",9
233,"[""'Comedy'"", ""'Kids'"", ""'Music'""]",9
234,"[""'Comedy'"", ""'Historical'"", ""'Seinen'""]",9
235,"[""'Fantasy'"", ""'Sci-Fi'""]",9
236,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Game'"", ""'Romance'""]",9
237,"[""'Action'"", ""'Comedy'"", ""'Ecchi'""]",9
238,"[""'Action'"", ""'Ecchi'"", ""'Magic'"", ""'Military'"", ""'Sci-Fi'""]",9
239,"[""'Adventure'"", ""'Comedy'"", ""'Shounen'""]",9
240,"[""'Kids'"", ""'Martial Arts'""]",9
241,"[""'Comedy'"", ""'Horror'""]",9
242,"[""'Game'"", ""'Kids'""]",9
243,"[""'Game'"", ""'Music'""]",9
244,"[""'Comedy'"", ""'Shoujo'"", ""'Slice of Life'""]",9
245,"[""'Drama'"", ""'Shoujo'""]",9
246,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Drama'"", ""'Romance'"", ""'Sci-Fi'""]",9
247,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Kids'""]",9
248,"[""'Adventure'"", ""'Mecha'"", ""'Sci-Fi'""]",9
249,"[""'Comedy'"", ""'Ecchi'"", ""'Harem'"", ""'Romance'""]",9
250,"[""'Comedy'"", ""'Romance'"", ""'Sci-Fi'""]",9
251,"[""'Action'"", ""'Comedy'"", ""'Sci-Fi'""]",9
252,"[""'Sci-Fi'"", ""'Slice of Life'""]",9
253,"[""'Comedy'"", ""'Drama'"", ""'Romance'""]",9
254,"[""'Action'"", ""'Adventure'"", ""'Mecha'""]",9
255,"[""'Action'"", ""'Comedy'"", ""'School'""]",9
256,"[""'Action'"", ""'Mystery'"", ""'Supernatural'""]",8
257,"[""'Mecha'"", ""'Military'"", ""'Sci-Fi'"", ""'Space'""]",8
258,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Drama'"", ""'Fantasy'"", ""'Shounen'"", ""'Super Power'""]",8
259,"[""'Action'"", ""'Comedy'"", ""'Fantasy'"", ""'Magic'""]",8
260,"[""'Ecchi'"", ""'Fantasy'""]",8
261,"[""'Action'"", ""'Adventure'"", ""'Kids'""]",8
262,"[""'Action'"", ""'Game'""]",8
263,"[""'Action'"", ""'Military'"", ""'Romance'"", ""'Sci-Fi'"", ""'Space'""]",8
264,"[""'Comedy'"", ""'Ecchi'"", ""'Seinen'""]",8
265,"[""'Comedy'"", ""'Harem'"", ""'Romance'""]",8
266,"[""'Action'"", ""'Sci-Fi'"", ""'Seinen'""]",8
267,"[""'Fantasy'"", ""'Sci-Fi'"", ""'Shounen'"", ""'Slice of Life'""]",8
268,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Mecha'"", ""'Sci-Fi'""]",8
269,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Drama'""]",8
270,"[""'Action'"", ""'Adventure'"", ""'Shounen'""]",8
271,"[""'Drama'"", ""'Music'"", ""'School'""]",8
272,"[""'Romance'"", ""'Slice of Life'""]",8
273,"[""'Fantasy'"", ""'Historical'"", ""'Kids'""]",8
274,"[""'Drama'"", ""'Mecha'"", ""'Military'"", ""'Sci-Fi'"", ""'Space'""]",8
275,"[""'Comedy'"", ""'Romance'"", ""'Shoujo'""]",8
276,"[""'Adventure'"", ""'Drama'"", ""'Sci-Fi'"", ""'Space'""]",8
277,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Fantasy'"", ""'Romance'""]",8
278,"[""'Shounen'""]",8
279,"[""'Action'"", ""'Police'"", ""'Psychological'"", ""'Sci-Fi'""]",8
280,"[""'Adventure'"", ""'Historical'""]",8
281,"[""'Adventure'"", ""'Comedy'"", ""'Sci-Fi'"", ""'Shounen'""]",8
282,"[""'Action'"", ""'Demons'"", ""'Fantasy'"", ""'Magic'"", ""'Supernatural'""]",8
283,"[""'Action'"", ""'Sci-Fi'"", ""'Space'""]",8
